token_id,threshold,coverage,success,precision,status,total_count
353,0.58,143,141,0.986013986013986,ok,246
354,0.48,105,103,0.9809523809523809,ok,174
355,0.56,766,751,0.9804177545691906,ok,1550
359,0.32,121,119,0.9834710743801653,ok,202
360,0.52,34,34,1.0,ok,75
361,0.78,36,36,1.0,ok,131
362,0.54,171,170,0.9941520467836257,ok,425
363,0.8,1907,1869,0.9800734137388568,ok,5527
366,0.68,4275,4191,0.9803508771929824,ok,9397
367,0.6,1546,1519,0.982535575679172,ok,3373
370,0.62,43,43,1.0,ok,83
373,0.64,53333,52339,0.981362383514897,ok,82443
378,0.74,1587,1558,0.9817265280403277,ok,5063
383,0.3,107,105,0.9813084112149533,ok,136
385,0.58,242,238,0.9834710743801653,ok,510
388,0.84,234,230,0.9829059829059829,ok,1002
391,0.78,1137,1116,0.9815303430079155,ok,3372
397,0.48,102,100,0.9803921568627451,ok,258
403,0.6,2203,2168,0.9841125737630504,ok,4459
408,0.66,86,85,0.9883720930232558,ok,499
409,0.6,4678,4592,0.9816160752458315,ok,8808
411,0.76,53,52,0.9811320754716981,ok,134
412,0.02,56,55,0.9821428571428571,ok,56
413,0.78,436,431,0.9885321100917431,ok,1053
415,0.2,42,42,1.0,ok,50
417,0.68,14,14,1.0,ok,54
422,0.38,119,117,0.9831932773109243,ok,177
427,0.72,95,94,0.9894736842105263,ok,289
431,0.34,4,4,1.0,ok,117
433,0.86,41,41,1.0,ok,171
435,0.6,184,182,0.9891304347826086,ok,461
436,0.56,89,88,0.9887640449438202,ok,170
438,0.62,6669,6542,0.9809566651671915,ok,15444
442,0.58,79,78,0.9873417721518988,ok,316
444,0.76,172,169,0.9825581395348837,ok,351
446,0.54,252,247,0.9801587301587301,ok,372
448,0.84,30,30,1.0,ok,59
449,0.64,4012,3936,0.9810568295114656,ok,9112
453,0.76,97,96,0.9896907216494846,ok,404
454,0.72,166,164,0.9879518072289156,ok,655
457,0.68,21,21,1.0,ok,53
461,0.58,69,69,1.0,ok,145
464,0.62,4368,4294,0.983058608058608,ok,11453
468,0.64,4239,4156,0.9804199103562161,ok,10331
469,0.84,41,41,1.0,ok,86
471,0.7,225,222,0.9866666666666667,ok,691
475,0.84,342,336,0.9824561403508771,ok,1013
477,0.4,78,77,0.9871794871794872,ok,106
480,0.68,144,142,0.9861111111111112,ok,310
482,0.64,2097,2062,0.983309489747258,ok,4733
486,0.68,41,41,1.0,ok,124
493,0.82,27,27,1.0,ok,83
500,0.66,12497,12282,0.9827958710090422,ok,20435
501,0.64,511,502,0.9823874755381604,ok,1193
503,0.34,54,53,0.9814814814814815,ok,65
505,0.54,100,99,0.99,ok,171
508,0.72,202,200,0.9900990099009901,ok,446
514,0.02,86,86,1.0,ok,86
517,0.02,78,78,1.0,ok,78
524,0.7,265,260,0.9811320754716981,ok,771
526,0.68,268,265,0.9888059701492538,ok,855
527,0.7,3807,3733,0.9805621224060941,ok,10274
529,0.68,739,726,0.9824086603518268,ok,1827
533,0.64,17,17,1.0,ok,137
537,0.68,10917,10712,0.9812219474214527,ok,19048
541,0.28,51,51,1.0,ok,100
546,0.76,3513,3444,0.9803586678052946,ok,9999
547,0.8,57,56,0.9824561403508771,ok,337
548,0.54,84,83,0.9880952380952381,ok,120
552,0.36,93,92,0.989247311827957,ok,107
553,0.38,57,56,0.9824561403508771,ok,188
557,0.5,50,49,0.98,ok,90
558,0.7,28437,27875,0.9802370151563105,ok,64636
560,0.64,2844,2793,0.9820675105485233,ok,7057
561,0.6,1419,1394,0.9823819591261451,ok,3439
562,0.4,90,89,0.9888888888888889,ok,122
580,0.66,57,56,0.9824561403508771,ok,106
588,0.38,60,59,0.9833333333333333,ok,74
