token_id,threshold,coverage,success,precision,status,total_count
644,0.73,951,951,1.0,ok,1870
648,0.73,144,144,1.0,ok,1218
652,,0,0,,fallback_no_valid_threshold,119
654,0.92,1431,1431,1.0,ok,9025
672,0.62,65,65,1.0,ok,226
678,0.96,1406,1406,1.0,ok,21206
698,0.79,2776,2776,1.0,ok,11754
718,0.81,181,181,1.0,ok,954
723,0.79,1988,1988,1.0,ok,6231
728,,0,0,,fallback_no_valid_threshold,111
731,0.77,122,122,1.0,ok,461
733,0.77,998,998,1.0,ok,3247
740,0.87,3090,3090,1.0,ok,16101
760,0.74,518,518,1.0,ok,2244
763,0.83,243,243,1.0,ok,1048
770,,0,0,,fallback_no_valid_threshold,199
778,0.86,335,335,1.0,ok,1036
781,1.0,32386,32386,1.0,ok,313740
782,0.89,342,342,1.0,ok,1334
784,,0,0,,fallback_no_valid_threshold,110
792,0.97,94,94,1.0,ok,895
795,1.0,61727,61727,1.0,ok,597245
797,0.96,2329,2329,1.0,ok,13724
802,0.76,563,563,1.0,ok,2211
809,0.77,565,565,1.0,ok,1698
810,0.84,2112,2112,1.0,ok,9569
811,0.58,103,103,1.0,ok,177
812,,0,0,,fallback_no_valid_threshold,172
818,0.88,2298,2298,1.0,ok,15456
822,0.54,115,115,1.0,ok,210
824,0.59,50,50,1.0,ok,152
825,0.65,139,139,1.0,ok,624
831,0.95,76,76,1.0,ok,275
834,0.93,5364,5364,1.0,ok,30081
838,0.63,341,341,1.0,ok,802
839,,0,0,,fallback_no_valid_threshold,107
845,0.5,59,59,1.0,ok,140
846,0.74,419,419,1.0,ok,1452
850,0.85,200,200,1.0,ok,1237
854,0.9,457,457,1.0,ok,1452
861,0.39,99,99,1.0,ok,178
866,0.42,288,288,1.0,ok,424
869,0.7,86,86,1.0,ok,526
876,,0,0,,fallback_no_valid_threshold,207
880,0.81,1017,1017,1.0,ok,3400
897,0.79,738,738,1.0,ok,3506
898,0.84,436,436,1.0,ok,1741
900,0.72,221,221,1.0,ok,631
901,0.67,222,222,1.0,ok,610
911,0.91,408,408,1.0,ok,3080
914,0.94,203,203,1.0,ok,985
915,,0,0,,fallback_no_valid_threshold,109
922,,0,0,,fallback_no_valid_threshold,240
928,0.74,101,101,1.0,ok,342
929,,0,0,,fallback_no_valid_threshold,129
931,0.98,13058,13058,1.0,ok,58162
933,0.46,129,129,1.0,ok,180
943,0.95,5118,5118,1.0,ok,24747
947,0.83,1377,1377,1.0,ok,7276
950,0.92,1618,1618,1.0,ok,6355
962,0.84,83,83,1.0,ok,909
963,0.67,84,84,1.0,ok,256
971,0.66,304,304,1.0,ok,928
989,0.64,482,482,1.0,ok,1347
997,0.74,173,173,1.0,ok,569
1017,0.51,298,298,1.0,ok,503
1020,0.9,124,124,1.0,ok,611
1028,0.53,150,150,1.0,ok,208
1029,0.82,205,205,1.0,ok,1277
1037,0.87,361,361,1.0,ok,2025
1040,0.9,1636,1636,1.0,ok,5772
1050,0.79,4066,4066,1.0,ok,20657
1069,0.25,201,201,1.0,ok,226
1071,0.86,863,863,1.0,ok,4941
1077,0.8,527,527,1.0,ok,5831
1088,0.71,830,830,1.0,ok,2732
1094,0.71,467,467,1.0,ok,954
1097,0.78,724,724,1.0,ok,2559
1099,0.66,250,250,1.0,ok,717
1103,0.89,720,720,1.0,ok,2713
1104,0.76,459,459,1.0,ok,9132
1109,0.58,197,197,1.0,ok,385
1117,0.9,534,534,1.0,ok,3922
1119,0.93,2265,2265,1.0,ok,10126
1124,0.58,139,139,1.0,ok,329
1128,0.91,1273,1273,1.0,ok,5562
1139,,0,0,,fallback_no_valid_threshold,125
1147,,0,0,,fallback_no_valid_threshold,144
1176,0.63,357,357,1.0,ok,669
1177,0.46,89,89,1.0,ok,108
1184,0.33,60,60,1.0,ok,143
1191,0.89,364,364,1.0,ok,2779
1192,0.69,58,58,1.0,ok,144
1198,0.55,105,105,1.0,ok,288
1209,0.7,300,300,1.0,ok,1557
1216,0.43,60,60,1.0,ok,109
1217,0.68,96,96,1.0,ok,318
1218,0.88,2386,2386,1.0,ok,10372
1221,0.9,1707,1707,1.0,ok,4599
1234,0.71,241,241,1.0,ok,817
1242,0.79,468,468,1.0,ok,4041
1248,0.54,193,193,1.0,ok,392
1253,0.81,188,188,1.0,ok,728
1255,0.78,602,602,1.0,ok,2406
