token_id,count,mean,p05,p10,p15,p25,p50,p75,min_conf,max_conf
12348,35,0.8380580357142857,0.455078125,0.5171875,0.5792968749999999,0.681640625,0.9609375,1.0,0.29296875,1.0
2906,35,0.8372767857142858,0.565234375,0.59453125,0.67265625,0.69921875,0.89453125,1.0,0.48828125,1.0
6118,35,0.9279854910714286,0.44238281250000006,0.8015625,0.8640625,1.0,1.0,1.0,0.2431640625,1.0
5802,35,0.9171316964285714,0.61875,0.7296875,0.762109375,0.92578125,0.98828125,1.0,0.294921875,1.0
476,35,0.6559151785714286,0.290625,0.31796875,0.326171875,0.36328125,0.64453125,0.96875,0.189453125,1.0
35570,35,0.9454241071428572,0.61953125,0.8617187500000001,0.940625,0.990234375,1.0,1.0,0.30078125,1.0
19423,34,0.9321001838235294,0.638671875,0.737890625,0.8193359375,0.9736328125,1.0,1.0,0.4765625,1.0
49296,34,0.8777286305147058,0.38051757812500003,0.5765625,0.65390625,0.8515625,0.990234375,1.0,0.21875,1.0
49442,34,0.8723000919117647,0.55478515625,0.65234375,0.7080078125,0.7607421875,0.943359375,1.0,0.48046875,1.0
16217,33,0.9248934659090909,0.7125,0.78515625,0.83203125,0.9140625,0.96875,1.0,0.486328125,1.0
501,33,0.8542702414772727,0.375,0.64609375,0.67734375,0.73828125,1.0,1.0,0.11669921875,1.0
7640,33,0.8992069128787878,0.56796875,0.67265625,0.75703125,0.77734375,1.0,1.0,0.427734375,1.0
550,33,0.9431226325757576,0.65703125,0.8,0.89375,0.96875,1.0,1.0,0.470703125,1.0
7801,33,0.7769294507575758,0.44921875,0.53671875,0.54609375,0.6484375,0.796875,0.984375,0.326171875,1.0
1349,33,0.7894767992424242,0.45546875,0.5125,0.553125,0.63671875,0.8359375,1.0,0.375,1.0
2686,33,0.8541074810606061,0.368359375,0.5015625,0.5890625,0.8125,0.9609375,1.0,0.30859375,1.0
2291,33,0.8070549242424242,0.51171875,0.5609375,0.5953125,0.64453125,0.87890625,0.98828125,0.462890625,1.0
